Sr.No.,Merit (Score),Choice Code,Institute Name,Course Name,Type,Seat Type,rank,percentile
147,22948 (21.0059952),624824110,"KFS - Krishna Institute of Computer Application & Management, Wathar",Master in Computer Application,AI-AI,AI,22948.0,21.0059952
148,23272 (19.1539942),211324110,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Master in Computer Application,AI-AI,AI,23272.0,19.1539942
149,23396 (19.1539942),1620024110,"YASHWANTRAO CHAVAN MAHAVIDYALAYA, ISLAMPUR",Master in Computer Application,AI-AI,AI,23396.0,19.1539942
150,23422 (19.1539942),269524110,"MARATHWADA INSTITUTE OF TECHNOLOGY CIDCO ,CHHATRAPATI SAMBHAJINAGAR",Master in Computer Application,AI-AI,AI,23422.0,19.1539942
151,23906 (15.5994113),566524210,Vidya Niketan Institute of Management And Computer Applications,Master of Computer Applications,AI-AI,AI,23906.0,15.5994113
152,24079 (15.5994113),1633124110,SarSam College of Management & Technology,Master in Computer Application,AI-AI,AI,24079.0,15.5994113
153,24205 (13.5402134),320024110,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Master in Computer Application,AI-AI,AI,24205.0,13.5402134
154,24278 (13.5402134),415724110,"V. M. Vasant Commerce, J.M. Thakar Arts & J.J. Patel Science College,Nagpur",Master in Computer Application,AI-AI,AI,24278.0,13.5402134
155,24392 (13.5402134),353924110,"St. Wilfred's College of Computer Sciences, Mira Road(E)",Master in Computer Application,AI-AI,AI,24392.0,13.5402134
156,24638 (12.4750009),1635324110,"Shivsamarth Institute of Management, Talmawale",Master in Computer Application,AI-AI,AI,24638.0,12.4750009
157,24962 (9.7430286),517024110,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Master in Computer Application,AI-AI,AI,24962.0,9.7430286
158,25709 (5.5960152),225924110,"Shri Sai Institute of Management & Research, Aurangabad",Master in Computer Application,AI-AI,AI,25709.0,5.5960152
159,25850 (4.302251),413824110,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",Master in Computer Application,AI-AI,AI,25850.0,4.302251
160,26017 (3.0466423),412824110,"Ranibai Agnihotri Institute of Computer Information Technology, Wardha",Master in Computer Application,AI-AI,AI,26017.0,3.0466423
161,26120 (2.8640429),538524110,"Akole Taluka Education Society,s Agasti Institute of Management, Computer Application & Research, Akole, Ahmednagar",Master in Computer Application,AI-AI,AI,26120.0,2.8640429
162,26200 (2.0662871),269424210,JAY BHARAT COLLEGE OF MCA DAPKA TQ.NILANGA DIST LATUR,Master of Computer Applications,AI-AI,AI,26200.0,2.0662871
163,26228 (2.0662871),250824110,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Master in Computer Application,AI-AI,AI,26228.0,2.0662871
164,26295 (2.0301121),1622924210,DESHBHAKT HARINARAYAN BANKATLAL SONI COLLEGE SOLAPUR,Master of Computer Applications,AI-AI,AI,26295.0,2.0301121
165,26343 (1.3622127),263324110,"Yashodeep Institute of Computer Application, MCA",Master in Computer Application,AI-AI,AI,26343.0,1.3622127
166,26413 (0.8710079),1635524210,Audyogik Shikshan Mandal's Nextgen Technical Campus,Master of Computer Applications,AI-AI,AI,26413.0,0.8710079
